FK_ID_FORMULARIO	ID_VIVIENDA	CIUDAD	P70	P4000	P4020	P4031S1	P4031S1A1	P4031S2	P4031S3	P4031S4	P4031S4A1	P4031S5	CLASE	DOMINIO	FEX_C
489	1	MONTERIA	1	1	2	1	3	1	1	1	3	1	1	1	129.73205995
490	1	MONTERIA	1	2	2	1	2	1	1	1	3	2	1	1	158.27499677
491	1	MONTERIA	1	2	2	1	3	1	1	1	3	1	1	1	159.43837466
493	1	MONTERIA	1	1	2	1	4	1	1	1	3	1	1	1	113.81130749
494	1	MONTERIA	1	1	2	1	3	1	1	1	3	1	1	1	158.34516978
495	1	MONTERIA	1	1	2	1	4	1	1	1	3	1	1	1	90.490904674
496	1	MONTERIA	1	1	2	1	1	1	1	1	3	1	1	1	125.79205857
499	1	MONTERIA	1	1	2	1	1	1	2	1	3	1	1	1	108.70792822
501	1	MONTERIA	1	1	4	1	1	1	1	1	3	1	1	1	113.48100469
503	1	MONTERIA	1	1	2	1	2	1	1	1	3	1	1	1	159.50854766
504	1	MONTERIA	1	2	2	1	2	1	1	1	3	1	1	1	199.13100643
505	1	MONTERIA	1	1	4	1	1	1	1	1	3	1	1	1	127.72356414
510	1	MONTERIA	1	1	2	1	3	1	1	1	3	1	1	1	129.66188694
512	1	MONTERIA	1	1	4	2		2	1	2		1	1	1	114.57420958
514	1	MONTERIA	1	1	2	1	2	1	1	1	3	1	1	1	129.66188694
515	1	MONTERIA	1	2	2	1	3	1	1	1	3	1	1	1	125.79205857
516	1	MONTERIA	1	2	2	1	1	1	1	1	3	1	1	1	140.81158189
517	1	MONTERIA	1	1	2	1	1	1	2	1	3	1	1	1	121.85205719
518	1	MONTERIA	1	1	4	1	1	2	1	1	99	1	1	1	90.207534751
519	1	MONTERIA	1	1	4	1	1	1	1	1	3	1	1	1	119.201833
520	1	MONTERIA	1	1	2	1	3	1	1	1	3	1	1	1	126.88526345
522	1	MONTERIA	1	1	6	1	1	1	1	1	3	1	1	1	92.462098565
523	1	MONTERIA	1	1	4	1	1	1	2	1	3	1	1	1	143.25749241
524	1	ARMENIA	1	1	2	1	2	1	1	1	3	1	1	1	198.87658939
525	1	ARMENIA	1	1	2	1	1	1	1	1	3	1	1	1	72.580995889
527	1	ARMENIA	1	1	2	1	1	1	1	1	3	1	1	1	113.07911636
528	1	ARMENIA	1	1	2	1	3	1	1	1	3	1	1	1	147.87553033
530	1	ARMENIA	1	1	2	1	2	1	1	1	3	1	1	1	82.024449866
531	1	ARMENIA	1	1	2	1	3	1	1	1	3	1	1	1	129.14118762
532	1	ARMENIA	1	1	2	1	2	1	1	1	3	1	1	1	219.82576797
533	1	ARMENIA	1	1	4	1	2	1	1	1	3	1	1	1	152.61969179
536	1	ARMENIA	1	1	2	1	2	1	1	1	3	1	1	1	87.427346006
537	1	ARMENIA	1	1	4	1	1	1	1	1	3	1	1	1	82.024449866
538	1	ARMENIA	1	2	2	1	1	2	1	1	3	1	1	1	66.818547473
539	1	ARMENIA	1	1	2	1	1	1	1	1	3	1	1	1	134.06719328
540	1	ARMENIA	1	1	2	1	3	1	1	1	3	1	1	1	99.747669789
541	1	ARMENIA	1	2	2	1	2	1	1	1	3	1	1	1	159.03720359
542	1	ARMENIA	1	1	2	1	2	1	1	1	3	1	1	1	153.63430745
543	1	ARMENIA	1	1	2	1	2	1	1	1	3	1	1	1	82.024449866
544	1	ARMENIA	1	2	2	1	2	1	1	1	3	1	1	1	102.6332484
545	1	ARMENIA	1	1	2	1	3	2	1	1	3	1	1	1	132.66962794
546	1	ARMENIA	1	1	5	1	2	1	1	1	3	1	1	1	66.818547473
547	1	ARMENIA	1	1	2	1	3	1	2	1	3	2	1	1	61.441061309
548	1	ARMENIA	1	1	2	1	4	1	1	1	3	1	1	1	90.304215813
549	1	ARMENIA	1	1	2	1	3	1	1	1	3	1	1	1	114.95357218
551	1	ARMENIA	1	1	2	1	4	1	1	1	3	1	1	1	100.10722207
552	1	ARMENIA	1	1	2	1	3	1	1	1	3	1	1	1	95.386458008
553	1	ARMENIA	1	1	2	1	2	1	1	1	3	1	1	1	87.786898282
554	1	ARMENIA	1	1	2	1	2	1	1	1	3	1	1	1	142.46392539
555	1	ARMENIA	1	1	2	1	1	1	1	1	3	1	1	1	83.898905683
556	1	ARMENIA	1	1	2	1	2	1	1	1	3	1	1	1	99.747669789
557	1	ARMENIA	1	1	2	1	2	2	1	1	3	1	1	1	113.10967793
558	1	ARMENIA	1	2	2	1	3	1	1	1	3	1	1	1	204.6353665
559	1	ARMENIA	1	2	2	1	3	1	1	1	3	1	1	1	137.77683454
560	1	ARMENIA	1	1	2	1	2	1	1	1	1	1	1	1	148.23141131
561	1	ARMENIA	1	1	2	1	2	1	1	1	3	1	1	1	87.427346006
562	1	ARMENIA	1	1	1	1	2	1	1	1	3	1	1	1	145.349504
563	1	ARMENIA	1	1	4	1	2	1	1	1	3	1	1	1	153.63430745
564	1	ARMENIA	1	1	2	1	2	1	1	1	3	1	1	1	100.10722207
565	1	ARMENIA	1	2	2	1	3	1	1	1	3	1	1	1	193.11781227
566	1	ARMENIA	1	1	2	1	1	2	1	1	3	1	1	1	127.27389597
567	1	ARMENIA	1	2	2	1	3	1	1	1	2	1	1	1	128.28501876
